Unnamed: 0,Age,Sport
0,10,Cricket
1,11,Cricket
2,12,Cricket
3,13,Cricket
4,14,Cricket
5,15,Cricket
6,16,Cricket
7,17,Cricket
8,18,Cricket
9,19,Cricket
10,20,Cricket
11,21,Football
12,22,Football
13,23,Football
14,24,Football
15,25,Football
16,26,Football
17,27,Football
18,28,Football
19,29,Football
20,30,Football
21,31,Football
22,32,Football
23,33,Football
24,34,Football
25,35,Football
26,36,Football
27,37,Football
28,38,Football
29,39,Football
30,40,Football
31,41,Hockey
32,42,Hockey
33,43,Hockey
34,44,Hockey
35,45,Hockey
36,46,Hockey
37,47,Hockey
38,48,Hockey
39,49,Hockey
40,50,Hockey
41,51,Hockey
42,52,Hockey
43,53,Hockey
44,54,Hockey
45,55,Hockey
46,56,Hockey
47,57,Hockey
48,58,Hockey
49,59,Hockey
50,60,Hockey
51,61,Dogba
52,62,Dogba
53,63,Dogba
54,64,Dogba
55,65,Dogba
56,66,Dogba
57,67,Dogba
58,68,Dogba
59,69,Dogba
60,70,Dogba
61,71,Dogba
62,72,Dogba
63,73,Dogba
64,74,Dogba
65,75,Dogba
66,76,Dogba
67,77,Dogba
68,78,Dogba
69,79,Dogba
70,80,Dogba
71,81,Vollyball
72,82,Vollyball
73,83,Vollyball
74,84,Vollyball
75,85,Vollyball
76,86,Vollyball
77,87,Vollyball
78,88,Vollyball
79,89,Vollyball
80,90,Vollyball
81,91,Vollyball
82,92,Vollyball
83,93,Vollyball
84,94,Vollyball
85,95,Vollyball
86,96,Vollyball
87,97,Vollyball
88,98,Vollyball
89,99,Vollyball
90,100,Vollyball
91,100,Vollyball
